Sample_ID,Mouse_ID,Group,Tissue,Gene,Ct_Value,Replicate,Experiment_Date,Undetermined
S0785,Mouse38,KO,Thymus,Foxp3,29.63,2,2026-04-18,False
S0048 ,Mouse3,HET,Thymus,Ifng,21.47,3,2026-03-04,False
S0204,Mouse10,WT,Spleen,Cd8a,21.68,3,2026-10-04,False
s1656,Mouse79,WT,Thymus,Tnfa,22.5,3,2026-03-23,False
s0022,Mouse2,WT,Spleen,Il2,24.36,1,2026-04-02,False
S_403,Mouse20,WT,Spleen,Ifng,23.24,1,2026-03-15,False
S1108,Mouse53,WT,Thymus,Tnfa,23.34,1,2026-03-30,False
S1155,Mouse55,KO,Spleen,Gapdh,17.64,3,2026-03-29,False
s1440,Mouse69,WT,Lymph Node,Cd4,19.99,3,2026-02-04,False
S0990,Mouse48,WT,Lymph Node,Il2,23.59,3,2026-05-04,False
S0742 ,Mouse36,KO,Spleen,Foxp3,29.44,1,2026-03-21,False
S1722,Mouse82,KO,Thymus,Gapdh,18.13,3,2026-03-16,False
S1311,Mouse63,KO,Spleen,Foxp3,29.76,3,2026-12-04,False
S1148,Mouse55,KO,Spleen,Cd8a,20.41,2,2026-03-29,False
S0034,Mouse2,WT,Spleen,Cd8a,21.0,1,2026-02-04,False
S0788,Mouse38,KO,Thymus,Cd4,19.46,2,2026-04-18,False
S_1541,Mouse74,WT,Spleen,Foxp3,29.18,2,2026-04-27,False
S0924,Mouse44,KO,Spleen,Gapdh,17.58,3,2026-11-03,False
S1044,Mouse50,HET,Thymus,Cd8a,21.15,3,2026-03-15,False
S1830,Mouse88,KO,Thymus,Il2,23.34,3,2026-01-04,False
S_1244,Mouse60,HET,Thymus,Ifng,22.09,2,2026-01-03,False
S0580 ,Mouse28,KO,Spleen,Cd8a,20.41,1,2026-03-28,False
S0482,Mouse23,KO,Spleen,Gapdh,17.17,2,2026-04-29,False
S0932,Mouse45,KO,Thymus,Foxp3,30.17,2,2026-03-15,False
S_357,Mouse17,WT,Spleen,Gapdh,19.37,3,2026-03-10,False
S1686,Mouse81,WT,Spleen,Ifng,22.5,3,2026-03-20,False
S0760,Mouse37,HET,Spleen,Ifng,21.2,1,2026-03-03,False
S0093 ,Mouse5,KO,Lymph Node,Foxp3,29.68,3,2026-04-09,False
S1176,Mouse56,WT,Thymus,Gapdh,17.6,3,2026-04-04,False
S1416,Mouse68,HET,Thymus,Foxp3,26.44,3,2026-04-20,False
S1342,Mouse64,WT,Lymph Node,Gapdh,,1,2026-07-04,True
S1473,Mouse71,KO,Spleen,Il2,28.43,3,2026-03-09,False
s0804,Mouse39,KO,Spleen,Ifng,22.87,3,2026-04-25,False
S0746,Mouse36,KO,Spleen,Cd4,21.06,2,2026-03-21,False
S1547,Mouse74,WT,Spleen,Cd8a,21.15,2,2026-04-27,False
S0280,Mouse14,HET,Thymus,Foxp3,25.7,1,2026-03-31,False
S1608,Mouse77,KO,Lymph Node,Cd4,20.65,3,2026-03-14,False
S0765,Mouse37,HET,Spleen,Foxp3,26.5,3,2026-03-03,False
S0605 ,Mouse29,WT,Spleen,Tnfa,24.13,2,2026-04-28,False
S1883,Mouse90,KO,Thymus,Cd8a,22.04,2,2026-05-03,False
S1374,Mouse66,KO,Thymus,Foxp3,,3,2026-01-04,True
S1399,Mouse67,KO,Lymph Node,Cd8a,19.96,1,2026-04-06,False
S0401,Mouse20,WT,Spleen,Il2,24.71,2,2026-03-15,False
S1729,Mouse83,KO,Thymus,Foxp3,29.71,1,2026-03-23,False
S0258,Mouse13,WT,Thymus,Ifng,22.79,3,2026-06-03,False
S0945,Mouse45,KO,Thymus,Gapdh,17.98,3,2026-03-15,False
S1097,Mouse53,WT,Thymus,Ifng,21.54,2,2026-03-30,False
S1220,Mouse59,WT,Thymus,Il2,24.5,2,2026-03-24,False
S_1508,Mouse72,KO,Thymus,Tnfa,,2,2026-03-28,True
S1162,Mouse56,WT,Thymus,Foxp3,26.19,1,2026-04-04,False
S0495,Mouse24,WT,Thymus,Cd4,19.86,3,2026-04-29,False
S0773,Mouse37,HET,Spleen,Tnfa,,2,2026-03-03,False
S0551,Mouse27,WT,Spleen,Ifng,20.88,2,2026-04-14,False
S1487,Mouse71,KO,Spleen,Tnfa,21.34,2,2026-03-09,False
S0202,Mouse10,WT,Spleen,Cd8a,23.31,1,2026-04-10,False
S0313,Mouse15,WT,Thymus,Gapdh,17.4,1,2026-03-03,False
S0291,Mouse14,HET,Thymus,Tnfa,23.45,3,2026-03-31,False
S_1214,Mouse58,HET,Thymus,Tnfa,22.27,2,2026-04-19,False
S0764,Mouse37,HET,Spleen,Foxp3,,2,2026-03-03,True
S1137,Mouse55,KO,Spleen,Il2,25.4,3,2026-03-29,False
s0950,Mouse46,KO,Spleen,Ifng,21.61,2,2026-03-21,False
S0184,Mouse9,KO,Spleen,Tnfa,22.79,1,2026-04-18,False
S1177,Mouse57,WT,Thymus,Il2,23.16,1,2026-04-13,False
S1849,Mouse89,WT,Spleen,Il2,23.66,1,2026-03-28,False
S1350,Mouse65,WT,Spleen,Ifng,21.76,3,2026-03-14,False
S1728,Mouse83,KO,Thymus,Ifng,22.02,3,2026-03-23,False
S1069,Mouse51,HET,Spleen,Gapdh,18.08,1,2026-04-29,False
S1469,Mouse70,HET,Lymph Node,Gapdh,17.67,2,2026-03-26,False
S1812,Mouse87,HET,Spleen,Ifng,22.46,3,2026-03-15,False
S1031,Mouse50,HET,Thymus,Il2,24.46,2,2026-03-15,False
S0251,Mouse12,WT,Thymus,Gapdh,17.99,2,2026-03-04,False
S_824,Mouse40,WT,Spleen,Ifng,22.3,2,2026-03-11,False
S1100,Mouse53,WT,Thymus,Foxp3,25.85,2,2026-03-30,False
S1537 ,Mouse74,WT,Spleen,Ifng,21.5,1,2026-04-27,False
S0941,Mouse45,KO,Thymus,Tnfa,22.95,2,2026-03-15,False
S_392,Mouse19,KO,Lymph Node,Cd8a,21.31,2,2026-11-03,False
S1457,Mouse70,HET,Lymph Node,Foxp3,25.47,2,2026-03-26,False
S_1093,Mouse53,WT,Thymus,Il2,23.35,1,2026-03-30,False
S1192,Mouse57,WT,Thymus,Tnfa,23.25,1,2026-04-13,False
S0905,Mouse44,KO,Spleen,Il2,23.66,2,2026-03-11,False
S0731,Mouse35,KO,Lymph Node,Tnfa,22.41,2,2026-03-30,False
S0555,Mouse27,WT,Spleen,Foxp3,26.2,3,2026-04-14,False
S0367 ,Mouse18,KO,Spleen,Cd4,19.91,1,2026-04-19,False
s0346,Mouse17,WT,Spleen,Cd4,20.46,1,2026-10-03,False
S1609,Mouse77,KO,Lymph Node,Cd8a,20.73,1,2026-03-14,False
S0536,Mouse26,WT,Lymph Node,Cd4,20.15,2,2026-05-04,False
S1423,Mouse68,HET,Thymus,Tnfa,23.49,1,2026-04-20,False
S1210 ,Mouse58,HET,Thymus,Cd8a,20.88,1,2026-04-19,False
S1373,Mouse66,KO,Thymus,Foxp3,29.23,2,2026-04-01,False
S1640,Mouse79,WT,Thymus,Il2,24.13,2,2026-03-23,False
S_920,Mouse44,KO,Spleen,Tnfa,22.94,2,2026-11-03,False
S0212,Mouse11,KO,Lymph Node,Il2,27.55,2,2026-04-17,False
S1604,Mouse77,KO,Lymph Node,Foxp3,28.64,2,2026-03-14,False
S0503,Mouse24,WT,Thymus,Gapdh,17.0,2,2026-04-29,False
S0538,Mouse26,WT,Lymph Node,Cd8a,20.75,1,2026-04-05,False
S_1221,Mouse59,WT,Thymus,Il2,22.8,3,2026-03-24,False
S0176,Mouse9,KO,Spleen,Foxp3,26.59,2,2026-04-18,False
